id,song,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
3331,9492,0.0423,0.7740,0.7560,0.0000,-4.9950,144.0320,0.9310
3332,9493,0.0476,0.8110,0.8790,0.0000,-3.7240,134.0640,0.9620
3333,9494,0.0192,0.6600,0.8050,0.0000,-5.3520,103.0090,0.6250
3334,9495,0.5500,0.4140,0.4190,0.0002,-6.4310,84.0820,0.1800
3335,9496,0.0295,0.5810,0.9630,0.0000,-4.0870,129.9920,0.7880
3336,9497,0.0740,0.6820,0.7140,0.0000,-6.3060,127.4430,0.5810
3337,9498,0.0561,0.6480,0.7850,0.0000,-5.4140,160.0200,0.9430
3338,9499,0.1620,0.7250,0.6800,0.0000,-5.4650,119.9390,0.7600
3339,9500,0.0000,0.7130,0.6000,0.0005,-7.0600,100.0250,0.3020
3340,9501,0.0492,0.7840,0.8500,0.0000,-3.6790,110.0040,0.5670
2605,8759,0.0367,0.6410,0.6150,0.0000,-7.4750,68.9380,0.4110
2606,8760,0.1160,0.6850,0.8590,0.0000,-2.5950,176.0180,0.8910
2607,8761,0.0071,0.6440,0.7460,0.0000,-4.9410,105.2530,0.3550
2608,8762,0.0026,0.5800,0.9530,0.0000,-3.8560,103.0410,0.6730
2609,8763,0.0023,0.4590,0.8790,0.0000,-4.0980,93.4690,0.3040
2610,8764,0.6650,0.3590,0.5180,0.0000,-3.5370,76.5720,0.1350
2611,8765,0.0133,0.7550,0.4080,0.0000,-10.3300,76.0340,0.4650
2612,8766,0.0366,0.9410,0.6310,0.0000,-5.9980,128.5970,0.6300
2613,8767,0.1450,0.9500,0.8030,0.0000,-4.1950,117.0000,0.8600
2614,8768,0.4800,0.3780,0.6910,0.0000,-5.6300,92.6410,0.2250
2615,8769,0.1040,0.4620,0.4140,0.0000,-7.7120,139.9040,0.4000
2616,8770,0.0095,0.9380,0.7350,0.0000,-6.3820,103.7000,0.5500
2617,8771,0.0045,0.7810,0.6250,0.0000,-9.1390,83.0240,0.6790
2618,8772,0.0017,0.8000,0.5020,0.0000,-6.0620,115.0910,0.3880
2619,8773,0.1590,0.5770,0.7560,0.0002,-5.8200,176.7500,0.6630
2620,8774,0.0010,0.5980,0.4890,0.0000,-7.7200,84.0270,0.0843
2621,8775,0.0094,0.6480,0.9310,0.0000,-3.1500,153.6490,0.7440
2622,8776,0.0493,0.5150,0.7400,0.0000,-5.5070,75.9220,0.7650
2623,8777,0.0039,0.6490,0.6470,0.1610,-7.6950,125.0200,0.4050
2624,8778,0.1080,0.7890,0.8810,0.0000,-5.7580,133.3010,0.6470
2625,8779,0.0485,0.4800,0.5180,0.0000,-4.2530,116.7370,0.3100
2626,8780,0.3640,0.6600,0.5480,0.0000,-7.1270,86.9470,0.4360
2627,8781,0.3580,0.8020,0.7720,0.0000,-4.8930,96.0460,0.6540
2628,8782,0.0007,0.6890,0.8860,0.0019,-5.0450,100.0290,0.5680
2629,8783,0.0084,0.8180,0.7050,0.0023,-6.6790,138.5590,0.7720
2630,8784,0.0880,0.7220,0.3290,0.0000,-11.6170,99.9910,0.1660
2631,8785,0.0260,0.4630,0.5240,0.0000,-8.2070,144.0550,0.3080
2632,8786,0.0041,0.3150,0.7510,0.0000,-5.7400,119.5660,0.2720
2633,8787,0.0293,0.4470,0.6940,0.0000,-4.6370,175.8680,0.5090
2634,8788,0.0086,0.5830,0.8290,0.0000,-4.6030,174.0280,0.5750
2635,8789,0.1910,0.7560,0.7700,0.0000,-3.5020,119.9610,0.7300
2636,8790,0.1730,0.6970,0.6450,0.0000,-4.2700,113.1010,0.2710
2637,8791,0.0108,0.4510,0.5500,0.0000,-8.1370,80.0010,0.5940
2638,8792,0.2710,0.5190,0.7490,0.0000,-3.3180,147.9050,0.2900
2639,8793,0.8840,0.6550,0.2960,0.0000,-10.5780,103.9810,0.3100
2640,8794,0.0359,0.8650,0.4500,0.0000,-9.3870,99.9890,0.3520
2641,8795,0.0476,0.8720,0.8720,0.0011,-6.3280,116.9480,0.8090
2642,8796,0.2980,0.8110,0.7570,0.0000,-6.4470,130.9960,0.5650
2643,8797,0.2250,0.8010,0.4540,0.0000,-6.0350,125.1390,0.3400
2644,8798,0.0007,0.5600,0.9590,0.0002,-2.4330,163.9830,0.6700
2645,8799,0.0048,0.8030,0.8510,0.0004,-2.4290,113.9960,0.8810
2646,8800,0.0056,0.6190,0.7090,0.0000,-4.6330,144.9720,0.6800
2647,8801,0.3170,0.9400,0.7430,0.0000,-5.1660,118.9880,0.9320
2648,8802,0.2770,0.6210,0.6000,0.0000,-6.3490,80.0210,0.4850
2649,8803,0.0525,0.4230,0.9120,0.0000,-3.2320,145.9420,0.3380
