id,title,artist,year,rank
8984,Into The Night,Santana Featuring Chad Kroeger,2008,98
8985,Heaven Sent,Keyshia Cole,2008,99
8986,She Got It,2 Pistols Featuring T-Pain & Tay Dizm,2008,100
8987,Boom Boom Pow,The Black Eyed Peas,2009,1
8988,Poker Face,Lady Gaga,2009,2
8989,Just Dance,Lady Gaga Featuring Colby O'Donis,2009,3
8990,I Gotta Feeling,The Black Eyed Peas,2009,4
8991,Love Story,Taylor Swift,2009,5
8992,Right Round,Flo Rida,2009,6
8993,I'm Yours,Jason Mraz,2009,7
8994,Single Ladies (Put A Ring On It),Beyonce,2009,8
8995,Heartless,Kanye West,2009,9
8996,Gives You Hell,The All-American Rejects,2009,10
8997,You Belong With Me,Taylor Swift,2009,11
8998,Dead And Gone,T.I. Featuring Justin Timberlake,2009,12
8999,You Found Me,The Fray,2009,13
9000,Use Somebody,Kings Of Leon,2009,14
9001,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,2009,15
9002,Blame It,Jamie Foxx Featuring T-Pain,2009,16
9003,I Know You Want Me (Calle Ocho),Pitbull,2009,17
9004,Live Your Life,T.I. Featuring Rihanna,2009,18
9005,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,2009,19
9006,Down,Jay Sean Featuring Lil Wayne,2009,20
9007,The Climb,Miley Cyrus,2009,21
9008,Best I Ever Had,Drake,2009,22
9009,My Life Would Suck Without You,Kelly Clarkson,2009,23
9010,Halo,Beyonce,2009,24
9011,Hot N Cold,Katy Perry,2009,25
9012,Second Chance,Shinedown,2009,26
9013,Circus,Britney Spears,2009,27
9014,Day 'N' Nite,Kid Cudi,2009,28
9015,Party In The U.S.A.,Miley Cyrus,2009,29
9016,Don't Trust Me,3OH!3,2009,30
9017,Run This Town,"Jay-Z, Rihanna & Kanye West",2009,31
9018,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2009,32
9019,Fire Burning,Sean Kingston,2009,33
9020,Whatcha Say,Jason Derulo,2009,34
9021,LoveGame,Lady Gaga,2009,35
9022,Waking Up In Vegas,Katy Perry,2009,36
9023,Birthday Sex,Jeremih,2009,37
9024,Sober,P!nk,2009,38
9025,Womanizer,Britney Spears,2009,39
9026,Whatever You Like,T.I.,2009,40
9027,Obsessed,Mariah Carey,2009,41
9028,Mad,Ne-Yo,2009,42
9029,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,2009,43
9030,Love Lockdown,Kanye West,2009,44
9031,So What,P!nk,2009,45
9032,Hotel Room Service,Pitbull,2009,46
9033,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",2009,47
9034,If I Were A Boy,Beyonce,2009,48
9035,Turnin Me On,Keri Hilson Featuring Lil Wayne,2009,49
9036,I Hate This Part,The Pussycat Dolls,2009,50
9037,Gotta Be Somebody,Nickelback,2009,51
9038,Please Don't Leave Me,P!nk,2009,52
9039,Paparazzi,Lady Gaga,2009,53
9040,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,2009,54
9041,Viva La Vida,Coldplay,2009,55
9042,Right Now (Na Na Na),Akon,2009,56
9043,Battlefield,Jordin Sparks,2009,57
9044,Sugar,Flo Rida Featuring Wynter,2009,58
